CreatorLens 20 条演示数据 单品：轻盈Go便携榨汁杯｜合成测试数据，不代表真实账号表现,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄色：用户输入字段｜带 *：硬性必填｜标题/脚本/Hook 至少一项｜完播率/平均播放时长/5秒留存至少推荐一项,,,,,,,,,,,,,,,,,,,,,,,,,,灰色：系统派生字段（公式自动计算）,,,,,
video_id*,publish_date,product_name,category*,price_band,target_audience,title,script_or_subtitle,hook_text,duration_seconds,person_on_camera,scene_demo,product_closeup,before_after,views*,likes,comments,favorites,shares,completion_rate,avg_watch_time_seconds,five_sec_retention,product_clicks,orders,notes,source_url,engagement_rate[系统],product_click_rate[系统],conversion_rate[系统],duration_band[系统],data_quality_score[系统],record_status[系统]
V011,46223,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,通用,一键自清洗实测,只加清水，启动13秒，杯壁上的果肉残留就被带下来。再冲洗一次即可，日常使用更省事。点击商品页查看清洗说明。,只加清水，启动13秒，杯壁上的果肉残留就被带下来,13,是,是,是,是,24800,1450,130,780,250,0.44,7.9,0.83,1538,135,效果前置；清洗效果,,0.10524193548387097,0.06201612903225807,0.08777633289986995,11—20秒,1,可分析
V012,46225,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,宝妈,孩子不爱直接吃水果怎么办,孩子不爱直接吃水果怎么办？把香蕉、草莓和牛奶放进去，17秒打成奶昔，口感更细。购买前请根据孩子年龄选择食材。点击查看杯体容量。,孩子不爱直接吃水果怎么办？,17,是,是,是,否,13100,610,57,290,90,0.34,9.1,0.7,616,49,痛点前置；避免功效承诺,,0.0799236641221374,0.04702290076335878,0.07954545454545454,11—20秒,1,可分析
V013,46227,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,通用,电池容量和刀头结构详解,先介绍电池容量、转速和六叶刀头结构，再展示杯盖、安全锁和充电接口。视频最后演示一次基础搅打。需要参数表可私信。,先介绍电池容量、转速和六叶刀头结构,32,否,否,是,否,6800,190,15,64,18,0.2,7.8,0.42,143,9,参数前置；时长偏长,,0.042205882352941176,0.021029411764705883,0.06293706293706294,>30秒,1,可分析
V014,46229,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,上班族,我的通勤早餐从手忙脚乱开始,以前我每天早上都来不及吃早餐，后来会提前切好水果。出门前用便携杯打好，路上就能带着喝。最后展示清洗和收纳，点击查看同款。,以前我每天早上都来不及吃早餐,29,是,是,是,否,8900,340,36,170,55,0.27,9.3,0.58,276,19,故事场景；时长较长,,0.06752808988764045,0.031011235955056178,0.06884057971014493,21—30秒,1,可分析
V015,46231,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,健身人群,为什么先加水再加粉,为什么做蛋白奶昔要先加水再加粉？顺序换一下，搅打时更容易均匀。16秒展示两种顺序的差别，想看比例可以评论。,为什么做蛋白奶昔要先加水再加粉？,16,是,是,是,是,12100,520,49,260,82,0.33,8.7,0.71,460,32,提问+对比,,0.0752892561983471,0.03801652892561983,0.06956521739130435,11—20秒,1,可分析
V016,46233,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,学生,冰香蕉奶昔17秒完成,冰香蕉加牛奶，18秒打到顺滑状态。镜头近距离展示搅打前后，再把杯子放进书包侧袋。领取学生新人券后再下单。,冰香蕉加牛奶，18秒打到顺滑状态,18,是,是,是,是,20700,1180,112,640,210,0.42,10.1,0.79,1242,102,效果前置；优惠CTA,,0.10347826086956521,0.06,0.0821256038647343,11—20秒,1,可分析
V017,46235,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,上班族,限时券后79元的便携果汁杯,限时券后79元，杯子、杯盖和充电线一起到手。现场做一杯苹果汁，展示容量和清洗步骤。优惠结束前可点击领取。,限时券后79元,19,是,是,是,否,16500,860,78,480,150,0.34,9.4,0.73,1205,91,价格优惠前置,,0.09503030303030303,0.07303030303030303,0.07551867219917012,11—20秒,1,可分析
V018,46236,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,学生,宿舍空间太小放不下大机器,宿舍桌面太小，放不下大料理机？这只杯子收纳占用空间少，22秒展示搅打、饮用和清洗全过程。点击商品页查看尺寸。,宿舍桌面太小，放不下大料理机？,22,是,是,是,否,10900,460,44,230,70,0.3,9.8,0.62,382,26,痛点前置；略长,,0.07376146788990826,0.03504587155963303,0.06806282722513089,21—30秒,1,可分析
V019,46237,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,通用,杯身材质与接口逐项说明,先看杯身材质，再看杯盖密封圈、充电接口和按键逻辑，最后24秒处展示搅打效果。感兴趣可以点击参数页。,先看杯身材质，再看杯盖密封圈、充电接口和按键逻辑,24,否,否,是,否,7500,220,20,75,25,0.23,7.7,0.5,180,12,参数前置,,0.04533333333333334,0.024,0.06666666666666667,21—30秒,1,可分析
V020,46238,轻盈Go便携榨汁杯,小家电/便携榨汁杯,50-99元,健身人群,刚开始健身的上班族看这里,刚开始健身、又总在外面买饮料的上班族看这里。水果和牛奶提前分装，18秒完成一杯奶昔。关注后回复“配方”查看组合。,刚开始健身、又总在外面买饮料的上班族看这里,18,是,是,否,否,11700,500,55,245,80,0.31,8.9,0.67,456,34,人群点名；关注+评论,,0.07521367521367521,0.038974358974358976,0.07456140350877193,11—20秒,1,可分析
